pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype,escape_velocity,stellar_flux,hz_inner,hz_outer,in_hz,orbit_stability,is_rocky,esi,spectral_suitability,stellar_suitability,habitability_score
Kepler-1279 b,Kepler-1279,1,1,Transit,2016.0,23.4774101,,,,1.75,,,6221.0,1.33,1.21,0.28974879610757526,2.82,0.06,,,,1.3616166547356512,2.272645388822253,,,0.0,,0.7179911757867746,0.9998159280950366,0.12742640902959454
Kepler-1280 b,Kepler-1280,1,1,Transit,2016.0,66.5579057,,,,1.87,,,6227.0,1.32,1.2,0.2771343611666868,2.82,0.04,,,,1.3416648054349407,2.2387917808544353,,,0.0,,0.7156514730610614,0.9997965730219448,0.12723787795642105
Kepler-180 b,Kepler-180,1,2,Transit,2014.0,13.817124,0.109,,,1.5,,789.3901945318222,5731.0,1.063,,,,,,,,,,,,1.0,,0.888032543222061,,0.15104260345776488
Kepler-140 b,Kepler-140,1,2,Transit,2014.0,3.25427,0.045,,,1.61,,1433.99899411706,6077.0,1.288,,,,,,,,,,,,0.0,,0.7727791316553477,,0.06182233053242782
Kepler-182 b,Kepler-182,1,2,Transit,2014.0,9.825792,0.096,,,2.58,,952.4553933334963,6250.0,1.146,,,,,,,,,,,,0.0,,0.7066482778577162,,0.0565318622286173
Kepler-1859 b,Kepler-1859,1,2,Transit,2021.0,2.729599953,,,,1.58313575,,,5887.0,1.235,1.09,0.13099274279218281,,0.16,,,,1.1494156449437272,1.945830967177102,,,1.0,,0.8395933969750597,0.9993891206405656,0.2171247102028444
Kepler-1281 b,Kepler-1281,1,1,Transit,2016.0,3.11602791,,,,1.64,,,5353.0,0.83,0.87,-0.2116826158348352,4.37,-0.04,,,,0.7916770592706052,1.373535736228856,,,0.0,,0.9726889893102255,0.9945137011005495,0.14743107822185653
Kepler-1860 b,Kepler-1860,1,1,Transit,2021.0,12.73719978,,,,1.13863767,,,5420.0,0.868,0.874,-0.20470998577958935,,0.0,,,,0.7958746184249899,1.376379183024663,,,1.0,,0.9615583782382694,0.9947276877730513,0.22655560840317518
Kepler-1861 b,Kepler-1861,1,1,Transit,2021.0,40.0306015,,,,2.20677414,,,5855.0,1.373,1.161,0.2269127690850085,,0.26,,,,1.285275474013798,2.1788809913720377,,,0.0,,0.8500585920924473,0.9996995714112696,0.13798365736618468
Kepler-1998 b,Kepler-1998,1,1,Transit,2023.0,3.03267135,0.0405,0.0,,0.6,,1187.0,5640.0,0.921,0.962,-0.05888724786765467,,0.06,,,532.3566772393405,0.9329710924807575,1.5969623678630938,0.0,0.0,1.0,,0.9129974218422362,0.9978063666432913,0.22288623941240931
Kepler-392 b,Kepler-392,1,2,Transit,2014.0,5.341853,0.059,,,1.0,,1145.6952014409783,5938.0,1.129,,,,,,,,,,,,1.0,,0.8224061642337682,,0.14579249313870146
Kepler-122 d,Kepler-122,1,5,Transit,2014.0,21.587475,0.155,,,2.2,,747.4191978892426,6050.0,1.216,,,,,,,,,,,,0.0,,0.7827045382418681,,0.06261636305935082
Kepler-185 b,Kepler-185,1,2,Transit,2014.0,1.6329,0.026,,,1.17,,1278.9682347368037,5208.0,0.806,,,,,,,,,,,,1.0,,0.9904318466552283,,0.15923454773241827
Kepler-1282 b,Kepler-1282,1,1,Transit,2016.0,2.131946513,,,,1.55,,,5504.0,0.89,0.92,-0.12674260429055653,4.57,0.01,,,,0.8676419096839423,1.494535112829583,,,1.0,,0.9451156292300925,0.9966651926925867,0.22537581382688848
Kepler-133 c,Kepler-133,1,2,Transit,2014.0,31.517586,0.204,,,2.84,,668.6662861816596,5736.0,1.425,,,,,,,,,,,,0.0,,0.8865862292427282,,0.0709268983616706
Kepler-1283 b,Kepler-1283,1,1,Transit,2016.0,12.9460978,,,,1.91,,,6175.0,1.25,1.16,0.2256029622942146,2.88,0.04,,,,1.2670010224690396,2.1187468027637895,,,0.0,,0.7357936579875285,0.9996965529699712,0.12884225134690028
Kepler-1687 b,Kepler-1687,1,1,Transit,2020.0,5.77954,,,,1.65623882,,,4132.0,0.726119,0.65,-0.85865,,,,,,0.39556914412583793,0.7339453645130247,,,0.0,,0.8458378913254627,0.9525741268224334,0.13434722018360734
Kepler-1284 b,Kepler-1284,1,1,Transit,2016.0,0.664073806,,,,1.21,,,5123.0,0.79,0.84,-0.2650224987834143,4.47,0.03,,,,0.7515928449460461,1.318917925734626,,,1.0,,0.9966436451938474,0.9926084586557181,0.22921408372140806
Kepler-1285 b,Kepler-1285,1,1,Transit,2016.0,14.7967458,,,,0.97,,,6170.0,1.28,1.2,0.2771343611666868,2.75,0.16,,,,1.3447116080398438,2.24916523872207,,,1.0,,0.7377133090335346,0.9997965730219448,0.20900282483421895
