pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype,escape_velocity,stellar_flux,hz_inner,hz_outer,in_hz,orbit_stability,is_rocky,esi,spectral_suitability,stellar_suitability,habitability_score,phl_esi,phl_habitable,phl_hz_con,phl_hz_opt,phl_flux,phl_type,phl_type_temp
Kepler-1261 b,Kepler-1261,1,1,Transit,2016.0,48.4308991,,,,2.26,,,5006.0,0.77,0.82,-0.3016515166569917,4.47,0.03,,,,0.7240495371370256,1.2782224643595592,,,0.0,0.44690761,0.999992000032,0.990986701347152,0.1493684290968606,0.44690761,0.0,0.0,0.0,5.2505427,Superterran,Hot
Kepler-390 b,Kepler-390,2,2,Transit,2014.0,6.738088,0.065,,,0.82,,787.2932353377186,5166.0,0.776,,,,,,,,,,,,1.0,0.30268926,0.9938951551991688,,0.1595116124159335,0.30268926,0.0,0.0,0.0,105.23817,Terran,Hot
Kepler-1846 b,Kepler-1846,1,1,Transit,2021.0,14.82009983,,,,1.76378826,,,4825.0,0.732,0.785,-0.367956201391616,,0.08,,,,0.6758981071124956,1.204676728350637,,,0.0,0.31888133,0.9932175497930306,0.9872576505358884,0.1485654395209546,0.31888133,0.0,0.0,0.0,24.885378,Superterran,Hot
Kepler-1685 b,Kepler-1685,1,1,Transit,2020.0,20.4905,,,,2.57673985,,,5484.0,0.835451,0.96,-0.24507,,,,,,0.7577582757576876,1.3064871564215292,,,0.0,0.27520296,0.9492748621146138,0.9977621514787236,0.1457853395726797,0.27520296,0.0,0.0,0.0,25.795687,Neptunian,Hot
Kepler-139 b,Kepler-139,1,5,Transit,2014.0,15.771044,0.127,,,2.94,,789.4056190900661,5594.0,1.3,,,,,,,,,,,,0.0,0.23118582,0.9245871180336795,,0.0739669694426943,0.23118582,0.0,0.0,0.0,64.32689,Neptunian,Hot
Kepler-1262 b,Kepler-1262,1,1,Transit,2016.0,8.67900242,,,,1.82,,,5771.0,0.98,0.99,-0.0152768189085752,4.27,-0.02,,,,0.9758249328926129,1.6604503136556652,,,0.0,0.27540765,0.8762551178699075,0.9983411989198256,0.1399842933539803,0.27540765,0.0,0.0,0.0,113.98398,Superterran,Hot
Kepler-1847 b,Kepler-1847,1,1,Transit,2021.0,11.12969971,,,,2.74516914,,,6122.0,0.964,1.041,0.0610775532868764,,-0.18,,,,1.0505864017863864,1.7607318140761017,,,0.0,0.22979107,0.7559711990673895,0.9990032367318376,0.1304079224966198,0.22979107,0.0,0.0,0.0,128.41253,Neptunian,Hot
Kepler-1263 b,Kepler-1263,1,1,Transit,2016.0,4.55139967,,,,1.14,,,5213.0,0.8,0.84,-0.2650224987834143,4.9,-0.03,,,,0.7488119150078656,1.3081173832050377,,,1.0,0.30043861,0.9899686529912572,0.992608458655718,0.2286800843452008,0.30043861,0.0,0.0,0.0,154.80996,Terran,Hot
KOI-2513.01,KOI-2513,1,1,Transit,2023.0,19.00547,0.5,0.36,7310.053361,2.80224517,2000.0,403.1489826781272,5900.0,1.2,0.91,-0.1433551268761723,8.0,-0.37,,572.0384637124421,2.8754436718038767,0.8376762526195153,1.4172867138365497,0.0,0.0,1.0,0.0898354885764595,0.835270211411272,0.996315760100564,0.3651209348454893,,,,,,,
Kepler-111 c,Kepler-111,1,2,Transit,2014.0,224.77833,0.751,0.176,222.4798849,7.0840758,3.42,352.2,5914.0,1.145,1.118,0.15836,3.4,0.237,,62.765616437069696,2.5531723116223763,1.184921153220711,2.003577605806969,0.0,0.0,0.0,0.4854113736729923,0.8305695941427272,0.9995382384234758,0.4056675425738948,0.37232068,0.0,0.0,0.0,2.705395,Neptunian,Hot
Kepler-522 b,Kepler-522,1,1,Transit,2016.0,38.58422849,,,,6.91,,,6392.0,1.98,1.54,0.6563225229276207,1.7,0.41,,,,2.0625139055106283,3.4187265599581167,,,0.0,0.1333231,0.6501241073067593,0.8494449867161488,0.1114710776546711,0.1333231,0.0,0.0,0.0,69.435103,Neptunian,Hot
Kepler-167 d,Kepler-167,2,4,Transit,2016.0,21.80379,0.1404,0.0,,1.238,,538.0,4884.0,0.749,0.777,-0.5391,7.1,0.02,,,14.66107395308008,0.5536595120849032,0.9836983044307084,0.0,0.0,1.0,0.37860821,0.9970142440394328,0.9862110114938586,0.2288007032512909,0.37860821,0.0,0.0,0.0,14.66445,Terran,Hot
Kepler-1264 b,Kepler-1264,1,1,Transit,2016.0,0.968526023,,,,1.18,,,5791.0,0.98,0.99,-0.0152768189085752,4.17,-0.02,,,,0.9750377305042244,1.6576322030875783,,,1.0,0.29107028,0.8701930266570368,0.9983411989198256,0.2194993260569507,0.29107028,0.0,0.0,0.0,2415.0897,Terran,Hot
Kepler-1265 b,Kepler-1265,1,1,Transit,2016.0,6.49441289,,,,1.35,,,4630.0,0.69,0.71,-0.5205957794832365,5.25,-0.1,,,,0.5716124375709346,1.0297724862310895,,,1.0,0.31085675,0.970035876368056,0.973403006423134,0.2257410805590639,0.31085675,0.0,0.0,0.0,53.271774,Terran,Hot
Kepler-1266 b,Kepler-1266,1,2,Transit,2016.0,28.474748,,,,2.58,,,5044.0,0.76,0.8,-0.3391850455281974,5.13,-0.07,,,,0.6923385412745834,1.2198445568989396,,,0.0,0.33920975,0.9995698703100876,0.9890130573694068,0.1491965036406655,0.33920975,0.0,0.0,0.0,10.345243,Neptunian,Hot
Kepler-1848 b,Kepler-1848,1,1,Transit,2021.0,5.604020119,,,,1.4088539,,,4847.0,0.737,0.756,-0.4251737157457771,,0.0,,,,0.6322291599520682,1.1255141514101064,,,1.0,0.29702295,0.9948115069707631,0.9830434644897992,0.228397963071947,0.29702295,0.0,0.0,0.0,96.824042,Terran,Hot
