pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype
omi UMa b,omi UMa,2,1,Radial Velocity,2012.0,1569.81,3.691,0.149,1160.39151396,,,,5075.0,13.84,2.72,2.06266,,-0.16,G4 II-III
omi CrB b,omi CrB,1,1,Radial Velocity,2012.0,187.01,0.699,0.105,355.96781584,,,,4769.0,11.87,1.3,1.82197,,-0.27,K0 III
WASP-42 b,WASP-42,1,1,Transit,2012.0,4.9816819,0.0561,,167.49641,12.576498,0.464,1021.0,5315.0,0.892,0.951,,4.4,0.29,
Kepler-751 b,Kepler-751,1,1,Transit,2016.0,17.44490636,,,,2.46,,,5387.0,0.84,0.87,,4.47,-0.06,
WASP-47 b,WASP-47,1,4,Transit,2012.0,4.159151,,0.0006,374.0,12.86,,,,1.156,1.058,,,,
WASP-49 b,WASP-49,2,1,Transit,2012.0,2.78174,,0.0,117.5971,12.44199,,,5600.0,0.97,0.92,,,-0.23,
WASP-55 b,WASP-55,2,1,Transit,2012.0,4.465631,,,186.2474465,14.72860064,0.342159,1342.0,6096.0,1.09,1.071,,3.05,-0.03,
WASP-61 b,WASP-61,1,1,Transit,2012.0,3.8559,,0.0,851.7844,15.80469,,,6250.0,1.55,1.82,,,-0.1,
WASP-62 b,WASP-62,1,1,Transit,2012.0,4.41195,,0.0,165.2716,14.79588,,,6230.0,1.23,1.11,,,0.04,
WASP-63 b,WASP-63,1,1,Transit,2012.0,4.37808,,0.0,117.5971,15.80469,,,5550.0,1.86,1.28,,,0.08,
WASP-66 b,WASP-66,1,1,Transit,2012.0,4.08605,,0.0,746.9005,15.6926,,,6600.0,1.76,1.33,,,-0.31,
WASP-67 b,WASP-67,1,1,Transit,2012.0,4.61442,,0.0,136.6669,12.89035,,,5200.0,0.88,0.91,,,-0.07,
HAT-P-38 b,HAT-P-38,1,1,Transit,2012.0,4.640382,0.0523,0.067,84.857,9.247,0.59,1082.0,5330.0,0.923,0.886,-0.208,,0.06,
Kepler-46 c,Kepler-46,1,3,Transit Timing Variations,2012.0,57.011,0.2799,0.0146,119.499,,,455.0,5155.0,0.938,0.902,-0.255,9.7,0.41,
Kepler-47 b,Kepler-47,2,3,Transit,2012.0,49.4643,0.2877,0.021,2.07,3.05,0.4,,,0.936,0.957,,,,
Kepler-47 c,Kepler-47,2,3,Transit,2012.0,303.227,0.9638,0.044,3.17,4.65,0.17,,,0.936,0.957,,,,
eps CrB b,eps CrB,1,1,Radial Velocity,2012.0,417.9,1.3,0.11,2129.461,,,,4406.0,21.0,1.7,,1.74,-0.094,K2 III
WTS-1 b,WTS-1,1,1,Transit,2012.0,3.352057,0.047,0.1,1274.44,16.7,1.61,1500.0,6250.0,1.15,1.2,,2.55,-0.5,F6 V
WASP-54 b,WASP-54,2,1,Transit,2012.0,3.69364,,0.07,187.5197,17.71022,,,6100.0,1.76,1.08,,,-0.27,
WASP-56 b,WASP-56,2,1,Transit,2012.0,4.6171,,0.0,143.0235,10.53646,,,5600.0,0.96,0.71,,,0.12,
WASP-57 b,WASP-57,1,1,Transit,2012.0,2.83891856,0.03769,,204.68252,11.76945,0.693,1338.0,5600.0,0.927,0.886,,,-0.25,
HD 4732 b,HD 4732,2,2,Radial Velocity,2012.0,371.74,1.129,0.266,631.2072163,,,,4898.0,5.03,1.39,1.11826,,-0.01,K0 IV
HD 4732 c,HD 4732,2,2,Radial Velocity,2012.0,3184.2,4.725,0.187,1069.49258955,,,,4898.0,5.03,1.39,1.11826,,-0.01,K0 IV
HD 37605 c,HD 37605,1,2,Radial Velocity,2012.0,2720.0,3.74,0.03,1013.8777,,,,5329.0,0.91,0.94,-0.22,5.65,0.27,K0
HD 40307 f,HD 40307,1,5,Radial Velocity,2013.0,51.76,0.247,0.02,5.2,,,,4956.0,,0.77,-0.639,4.5,-0.31,K2.5 V
HD 40307 g,HD 40307,1,5,Radial Velocity,2013.0,197.8,0.6,0.29,7.1,,,,4956.0,,0.77,-0.639,4.5,-0.31,K2.5 V
HD 66141 b,HD 66141,1,1,Radial Velocity,2012.0,480.5,1.2,0.07,1906.9,,,,4323.0,21.4,1.1,2.24,6.84,-0.323,K2 III
HD 208527 b,HD 208527,1,1,Radial Velocity,2012.0,875.5,2.1,0.08,3146.4,,,,4035.0,51.1,1.6,,2.0,-0.09,M1 III
HD 220074 b,HD 220074,1,1,Radial Velocity,2012.0,672.09998,1.6,0.14,5288.6912,,,,3787.0,54.92,2.2,,,-0.25,
